u,v,highway,street_name,is_screened_candidate,length_m,free_flow_time_min,capacity_veh_hr,baseline_flow,vc_ratio,system_cost_without,system_cost_baseline,delta_cost,pct_change,is_braess,convergence_gap,reliable,braess_mag,braess_norm,vc_redundancy,redundancy_score,betweenness
245613696,1617742453,primary_link,(unnamed road),True,67.4,0.081,1000,1200.0,1.2,49860.7206,27807.8521,22052.8686,79.3045,False,0.0002445943225129286,True,0.0,0.0,0.0,0.0,0.10141775414854197
307408561,1607770096,residential,(unnamed road),True,47.2,0.094,400,446.52,1.1163,27813.9946,27807.8521,6.1425,0.0221,False,3.414669830088806e-05,True,0.0,0.0,0.0,0.0,0.004114709199291123
1391210508,10862212866,residential,(unnamed road),True,28.7,0.057,400,623.61,1.559,28447.8328,27807.8521,639.9807,2.3014,False,5.9740572671773914e-05,True,0.0,0.0,0.0,0.0,0.07140969872724343
61746203,1391210501,residential,(unnamed road),True,85.4,0.171,400,523.65,1.3091,28250.2605,27807.8521,442.4084,1.5909,False,6.0774939936557404e-05,True,0.0,0.0,0.0,0.0,0.06730465603351055
10862212866,11493846394,residential,(unnamed road),True,41.6,0.083,400,623.61,1.559,28447.8328,27807.8521,639.9807,2.3014,False,5.9740572671773914e-05,True,0.0,0.0,0.0,0.0,0.07119703560496214
9363518172,61746220,secondary,(unnamed road),True,195.8,0.235,1000,1193.72,1.1937,28152.648,27807.8521,344.7959,1.2399,False,7.609010228045148e-05,True,0.0,0.0,0.0,0.0,0.0925406798775576
3801692785,3801692786,secondary,(unnamed road),True,95.1,0.114,1000,1000.0,1.0,28177.2213,27807.8521,369.3693,1.3283,False,7.747416899380103e-05,True,0.0,0.0,0.0,0.0,0.09445787014660867
3740957812,1468540687,secondary,(unnamed road),True,47.6,0.057,1000,1200.0,1.2,28739.4948,27807.8521,931.6427,3.3503,False,0.00013177476953832375,True,0.0,0.0,0.0,0.0,0.1260608989850169
3801692786,9797919703,secondary,(unnamed road),True,185.6,0.223,1000,1000.0,1.0,28169.7529,27807.8521,361.9009,1.3014,False,8.636512647359034e-05,True,0.0,0.0,0.0,0.0,0.09972611567584984
2598853079,3870459131,residential,(unnamed road),True,35.5,0.071,400,462.98,1.1575,27893.208,27807.8521,85.356,0.3069,False,5.0318656099077684e-05,True,0.0,0.0,0.0,0.0,0.06088287417431931
3740957813,11493846394,secondary,(unnamed road),True,157.1,0.188,1000,1093.76,1.0938,28082.585,27807.8521,274.7329,0.988,False,6.839615405655916e-05,True,0.0,0.0,0.0,0.0,0.09354599645561462
11493846395,3740957812,secondary,(unnamed road),True,157.1,0.189,1000,1200.0,1.2,28420.6139,27807.8521,612.7618,2.2036,False,7.331336484561185e-05,True,0.0,0.0,0.0,0.0,0.1255582406959884
3399683430,6017833816,secondary,(unnamed road),True,147.9,0.178,1000,1317.5,1.3175,28141.7178,27807.8521,333.8658,1.2006,False,7.065841968199707e-05,True,0.0,0.0,0.0,0.0,0.08424681810858707
1391210501,1391210514,residential,(unnamed road),True,19.3,0.039,400,523.65,1.3091,28250.2605,27807.8521,442.4084,1.5909,False,6.07749399365569e-05,True,0.0,0.0,0.0,0.0,0.06709843724826808
1391210496,1391210502,residential,(unnamed road),True,34.9,0.07,400,623.61,1.559,28447.8328,27807.8521,639.9807,2.3014,False,5.9740572671773914e-05,True,0.0,0.0,0.0,0.0,0.07183502497180602
11493846393,6528476360,secondary,(unnamed road),True,59.1,0.071,1000,1317.5,1.3175,28087.4211,27807.8521,279.569,1.0054,False,7.74867749787922e-05,True,0.0,0.0,0.0,0.0,0.0822104076043177
1391210502,1391210508,residential,(unnamed road),True,34.0,0.068,400,623.61,1.559,28447.8328,27807.8521,639.9807,2.3014,False,5.9740572671773914e-05,True,0.0,0.0,0.0,0.0,0.07162236184952472
3740957803,3145158634,secondary,(unnamed road),True,167.4,0.201,1000,1000.21,1.0002,28054.4448,27807.8521,246.5927,0.8868,False,8.213498297146571e-05,True,0.0,0.0,0.0,0.0,0.08747220879652005
61746221,10068956864,secondary,(unnamed road),True,261.3,0.314,1000,1000.32,1.0003,28421.9116,27807.8521,614.0596,2.2082,False,0.00013012872495102084,True,0.0,0.0,0.0,0.0,0.07431931690027388
